published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-17T15:40:53.297537,22 hours ago,Nvidia-backed CoreWeave soars 100% since IPO as investors see AI demand outweighing 'risky' business model,2025-05-18T13:40:53.297537,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-18T06:40:53.298606,7 hours ago,What do AI chatbots say about their own bosses — and their rivals?,2025-05-18T13:40:53.298606,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.300590,4 days ago,Your A.I. Radiologist Will Not Be With You Soon,2025-05-18T13:40:53.299587,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.301593,4 days ago,Become a certified Generative AI Leader with a first-of-its-kind credential from Google Cloud.,2025-05-18T13:40:53.300590,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://blog.google&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T17:40:53.302595,20 hours ago,AI Chatbots Mirror a Human Brain Disorder,2025-05-18T13:40:53.301593,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://neurosciencenews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.304592,3 days ago,"Microsoft’s CEO on How AI Will Remake Every Company, Including His",2025-05-18T13:40:53.303596,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.bloomberg.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T19:40:53.306389,18 hours ago,2 Artificial Intelligence (AI) Stocks I'm Buying If the Market Crashes,2025-05-18T13:40:53.304592,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.fool.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.307632,2 days ago,"AI Discovers Suspected Trigger of Alzheimer's, And Maybe a Treatment",2025-05-18T13:40:53.306389,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.sciencealert.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T20:40:53.308582,17 hours ago,Gemini AI Will Soon Power In-Car Android Auto,2025-05-18T13:40:53.307632,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.autoblog.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-15T13:40:53.309522,3 days ago,Why was Elon Musk’s AI chatbot Grok preoccupied with South Africa’s racial politics?,2025-05-18T13:40:53.309522,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.311570,2 days ago,America’s AI future hinges on nuclear energy,2025-05-18T13:40:53.310558,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.utilitydive.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-17T21:40:53.312449,16 hours ago,MIT Backs Away From Paper Claiming Scientists Make More Discoveries with AI,2025-05-18T13:40:53.311570,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://gizmodo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.313478,2 days ago,UAE partners with Italian startup for AI supercomputer,2025-05-18T13:40:53.313478,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.316387,4 days ago,"US tech firms Nvidia, AMD secure AI deals as Trump tours Gulf states",2025-05-18T13:40:53.314622,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.317387,2 days ago,"Trump announces $200 billion in deals during UAE visit, AI agreement signed",2025-05-18T13:40:53.316387,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Yesterday,Yesterday,Republicans seek new oversight of online speech while boosting AI,2025-05-18T13:40:53.317387,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.nbcnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-14T13:40:53.319595,4 days ago,"Nvidia to send 18,000 AI chips to Saudi Arabia",2025-05-18T13:40:53.318575,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://apnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-16T13:40:53.320589,2 days ago,Elon Musk’s AI firm blames unauthorised change for chatbot’s rant about ‘white genocide’ | Artificial intelligence (AI),2025-05-18T13:40:53.319595,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
