published_datetime,published_time,publisher,scraped_at,thumbnail_url
2025-05-08T13:44:59.875631,10 days ago,India-Pakistan drone war heats up,2025-05-18T13:44:59.874624,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-08T13:44:59.876628,10 days ago,India and Pakistan trade attacks amid risk of war between nuclear states,2025-05-18T13:44:59.875631,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.npr.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.877626,11 days ago,Tensions escalate as Pakistan calls India's operation 'an act of war',2025-05-18T13:44:59.876628,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.npr.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.878631,11 days ago,How an India-Pakistan War Could Derail Central Asia's Future,2025-05-18T13:44:59.877626,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://oilprice.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.879537,11 days ago,India-Pakistan Conflict Escalates: Latest Updates,2025-05-18T13:44:59.878631,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://time.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.880511,11 days ago,India-Pakistan: Can other countries pull them from the brink of conflict?,2025-05-18T13:44:59.879537,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-07T13:44:59.881570,11 days ago,‘Act of war’: Pakistan pledges retaliation to Indian deadly attacks,2025-05-18T13:44:59.880511,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-06T13:44:59.882559,12 days ago,Pakistan decries ‘act of war’ as it retaliates against India missile attack,2025-05-18T13:44:59.881570,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.theguardian.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-03T13:44:59.883651,15 days ago,Pakistan test-fires ballistic missile as tensions with India rise,2025-05-18T13:44:59.882559,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-03T13:44:59.884623,15 days ago,"‘Don’t see a major war with India, but have to be ready’: Pakistan ex-NSA",2025-05-18T13:44:59.883651,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-02T13:44:59.885632,16 days ago,"Pakistan’s Leaders May Talk Tough, but War With India Is the Last Thing Pakistanis Want",2025-05-18T13:44:59.884623,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.886634,17 days ago,US urges restraint as Kashmir massacre tensions put India and Pakistan on edge,2025-05-18T13:44:59.885632,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.887630,17 days ago,Vance says US hopes Pakistan cooperates with India against Pakistan-based militants,2025-05-18T13:44:59.886634,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.888634,17 days ago,U.S. and U.N. Urge De-escalation Between India and Pakistan,2025-05-18T13:44:59.887630,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.889624,17 days ago,The $10bn India-Pakistan trade secret hidden by official data,2025-05-18T13:44:59.888634,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.aljazeera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.891439,17 days ago,How a Pakistan-India war could spiral into nuclear Armageddon leaving 125 MILLION dead in a week - as tensions,2025-05-18T13:44:59.890424,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.dailymail.co.uk&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.892675,17 days ago,India and Pakistan are bracing for a military clash,2025-05-18T13:44:59.891439,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.economist.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
2025-05-01T13:44:59.893620,17 days ago,"Pakistan warns of an Indian attack, while quietly urging de-escalation",2025-05-18T13:44:59.892675,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.washingtonpost.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Apr 30,Apr 30,Asim Munir: Pakistan army chief’s Kashmir remarks cause anger in India,2025-05-18T13:44:59.893620,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.bbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
